workclass,race,sex,age,education_num,hours_per_week,capital_gain
State-gov,White,Male,49.0,14.0,45.0,0.0
Private,White,Male,35.0,13.0,45.0,10520.0
Private,White,Male,45.0,13.0,72.0,0.0
Local-gov,White,Female,32.0,13.0,35.0,0.0
Self-emp-not-inc,White,Female,67.0,9.0,16.0,3273.0
Self-emp-not-inc,White,Male,42.0,9.0,50.0,0.0
Private,White,Male,68.0,7.0,70.0,0.0
Private,White,Female,26.0,5.0,38.0,0.0
Private,White,Male,50.0,15.0,60.0,0.0
Private,White,Male,46.0,10.0,40.0,0.0
Private,Black,Female,41.0,9.0,60.0,0.0
Private,White,Female,26.0,9.0,39.0,0.0
Private,White,Male,28.0,13.0,50.0,0.0
Private,White,Male,37.0,13.0,45.0,0.0
State-gov,White,Female,43.0,10.0,40.0,0.0
Federal-gov,White,Male,35.0,13.0,40.0,7298.0
Private,White,Female,23.0,12.0,15.0,0.0
Private,White,Male,47.0,3.0,20.0,0.0
Private,Black,Male,59.0,6.0,40.0,0.0
Private,White,Male,33.0,13.0,55.0,0.0
Private,Black,Male,58.0,3.0,40.0,0.0
State-gov,White,Male,27.0,14.0,40.0,0.0
Private,White,Male,65.0,13.0,20.0,10605.0
Private,White,Male,29.0,13.0,40.0,0.0
Self-emp-not-inc,Black,Female,42.0,10.0,50.0,0.0
Private,Black,Male,48.0,9.0,40.0,0.0
Local-gov,Black,Female,24.0,10.0,40.0,0.0
Private,White,Male,36.0,2.0,40.0,0.0
Private,White,Male,41.0,10.0,65.0,0.0
Private,White,Male,53.0,10.0,40.0,0.0
Private,White,Male,34.0,9.0,50.0,0.0
Self-emp-not-inc,White,Male,74.0,13.0,10.0,0.0
Private,White,Male,19.0,9.0,52.0,0.0
Private,White,Male,58.0,9.0,60.0,3464.0
State-gov,White,Female,41.0,14.0,35.0,0.0
Private,White,Female,61.0,10.0,30.0,0.0
Private,White,Male,53.0,9.0,48.0,0.0
Self-emp-not-inc,White,Male,34.0,9.0,51.0,0.0
Private,White,Female,43.0,2.0,21.0,0.0
Private,White,Female,40.0,9.0,40.0,0.0
Private,White,Male,20.0,10.0,25.0,0.0
Private,White,Male,56.0,9.0,43.0,0.0
State-gov,White,Female,46.0,9.0,38.0,0.0
Private,White,Male,58.0,10.0,40.0,0.0
Private,Black,Male,26.0,6.0,,0.0
Private,White,Male,54.0,13.0,60.0,0.0
Self-emp-inc,Asian-Pac-Islander,Female,18.0,9.0,30.0,0.0
Private,Other,Female,44.0,6.0,42.0,0.0
Private,White,Male,26.0,9.0,20.0,0.0
Private,White,Male,50.0,13.0,60.0,0.0
Private,White,Female,44.0,10.0,25.0,0.0
Self-emp-not-inc,White,Male,39.0,13.0,50.0,15024.0
Private,White,Female,64.0,7.0,,0.0
Private,Asian-Pac-Islander,Male,50.0,10.0,50.0,0.0
Private,White,Male,26.0,13.0,18.0,0.0
Private,White,Male,18.0,7.0,30.0,0.0
Local-gov,Black,Male,57.0,10.0,40.0,7298.0
Local-gov,White,Male,41.0,14.0,40.0,0.0
Private,White,Male,40.0,9.0,40.0,0.0
Private,White,Female,36.0,10.0,40.0,0.0
Federal-gov,White,Male,28.0,13.0,50.0,0.0
Private,White,Male,30.0,9.0,40.0,0.0
Private,White,Female,38.0,11.0,40.0,0.0
Private,White,Male,54.0,16.0,40.0,0.0
Private,Black,Female,32.0,7.0,40.0,0.0
