workclass,race,sex,age,education_num,hours_per_week,capital_gain,data_source
Private,white,F,17.0,6.0,10.0,0,census_1994
Private,White,male,29.0,9.0,40.0,0,census_1994
Private,  WHITE  ,Male,53.0,9.0,42.0,0,census_1994
Private,Other,FEMALE,56.0,4.0,40.0,0,census_1994
Self-emp-not-inc,White,unknown,72.0,10.0,35.0,0,census_1994
  SELF-EMP-NOT-INC  ,White,Male,43.0,9.0,40.0,0,census_1994
 State-gov ,White,M,46.0,13.0,10.0,0,census_1994
State-gov, White ,male,52.0,14.0,70.0,0,census_1994
Private, White ,female,20.0,9.0,40.0,0,census_1994
Local-gov,  WHITE  ,MALE,56.0,12.0,45.0,0,census_1994
private,White,Male,27.0,14.0,40.0,0,census_1994
  PRIVATE  ,asian-pac-islander,male,43.0,9.0,60.0,"2,829",census_1994
  PRIVATE  ,white,M,45.0,10.0,40.0,0,census_1994
private,White,F,38.0,14.0,40.0,0,census_1994
Private,White,?,61.0,4.0,35.0,0,census_1994
Private,White,male,31.0,9.0,60.0,0,census_1994
private,black,MALE,24.0,13.0,50.0,0,census_1994
private,white, Female,25.0,9.0,40.0,0,census_1994
Private,White,M,37.0,9.0,45.0,0,census_1994
federal-gov,  WHITE  ,male,36.0,13.0,40.0,0,census_1994
Private,White,FEMALE,60.0,6.0,40.0,0,census_1994
 Self-emp-not-inc ,White, Male,58.0,9.0,72.0,0,census_1994
Private,white,MALE,40.0,13.0,40.0,0,census_1994
  LOCAL-GOV  ,Black,Female,52.0,9.0,40.0,0,census_1994
Private,white,male,50.0,9.0,48.0,0,census_1994
Private,black,Male,36.0,6.0,40.0,0,census_1994
  PRIVATE  ,white,Male,48.0,13.0,55.0,0,census_1994
Private,White,,31.0,9.0,40.0,0,census_1994
 Private ,White,,22.0,12.0,45.0,0,census_1994
Private,White,Male,20.0,9.0,40.0,0,census_1994
Private,White,,42.0,11.0,40.0,0,census_1994
federal-gov,White,?,57.0,6.0,35.0,0,census_1994
 Self-emp-not-inc ,White,Male,62.0,4.0,40.0,0,census_1994
  LOCAL-GOV  ,White,,32.0,10.0,40.0,0,census_1994
State-gov,White,M,56.0,9.0,38.0,0,census_1994
Private,white,M,44.0,10.0,42.0,0,census_1994
State-gov, White ,Male,33.0,13.0,20.0,0,census_1994
  LOCAL-GOV  ,White,male,40.0,9.0,40.0,0,census_1994
Private,  WHITE  ,M,32.0,9.0,40.0,0,census_1994
Local-gov,White, Female,38.0,14.0,55.0,0,census_1994
 State-gov , White ,M,25.0,10.0,40.0,0,census_1994
Private,White, Female,24.0,9.0,40.0,0,census_1994
Private,white, Male,46.0,13.0,40.0,0,census_1994
Private,white,M,22.0,9.0,40.0,0,census_1994
Private,  WHITE  ,Female,29.0,9.0,30.0,0,census_1994
Private,White,MALE,25.0,9.0,70.0,0,census_1994
Self-emp-inc,White,MALE,43.0,13.0,45.0,0,census_1994
  STATE-GOV  ,  AMER-INDIAN-ESKIMO  ,MALE,44.0,13.0,38.0,0,census_1994
Private,White,male,54.0,9.0,45.0,0,census_1994
Private,White,Female,25.0,13.0,40.0,0,census_1994
 Private ,White,female,19.0,9.0,40.0,0,census_1994
Private,white,F,23.0,9.0,25.0,0,census_1994
local-gov, Black ,Female,45.0,10.0,25.0,0,census_1994
Local-gov,Black,MALE,52.0,13.0,40.0,0,census_1994
Private,Black,F,30.0,12.0,40.0,0,census_1994
  PRIVATE  ,Other,Male,47.0,9.0,40.0,0,census_1994
 Private , White , Male,52.0,9.0,50.0,0,census_1994
  PRIVATE  ,  WHITE  ,FEMALE,65.0,10.0,40.0,0,census_1994
private,White,MALE,18.0,10.0,30.0,0,census_1994
Private,  WHITE  ,FEMALE,27.0,11.0,40.0,0,census_1994
Private,White,male,34.0,10.0,64.0,0,census_1994
Private,White,F,35.0,13.0,45.0,0,census_1994
Private,White,MALE,67.0,9.0,40.0,0,census_1994
Private,white,Male,26.0,9.0,52.0,0,census_1994
Local-gov,Amer-Indian-Eskimo,M,26.0,9.0,25.0,0,census_1994
Self-emp-not-inc,  WHITE  ,M,51.0,12.0,30.0,"3,103",census_1994
 State-gov ,white,Female,42.0,10.0,45.0,0,census_1994
Private,White, Male,30.0,9.0,30.0,0,census_1994
Federal-gov,  ASIAN-PAC-ISLANDER  ,unknown,44.0,13.0,40.0,"15,024",census_1994
Federal-gov, White ,female,48.0,9.0,40.0,0,census_1994
 Private ,White,Male,51.0,14.0,50.0,"15,024",census_1994
Private,White,M,41.0,4.0,40.0,0,census_1994
  PRIVATE  ,Black, Female,22.0,9.0,37.0,0,census_1994
Self-emp-inc,White,F,34.0,14.0,40.0,"4,787",census_1994
 Self-emp-inc ,white, Male,50.0,15.0,60.0,0,census_1994
Local-gov,White,female,40.0,13.0,35.0,0,census_1994
  PRIVATE  ,White,Male,41.0,7.0,40.0,"7,688",census_1994
  PRIVATE  ,White, Male,50.0,9.0,58.0,0,census_1994
,white,,59.0,13.0,40.0,0,census_1994
Private, White ,MALE,20.0,9.0,40.0,0,census_1994
Private,  WHITE  ,Male,21.0,10.0,22.0,0,census_1994
Private,White, Male,33.0,9.0,40.0,0,census_1994
